"","X1","Teams","SQ_PPP","Possessions","Points Expected","Points Scored","OFFENSIVE_OPP_rating","DEFENSIVE_OPP_rating","Turnovers","Offensive_Rebounds","Midrange Attempts","3PT Attempts","Post Up Attempts","Drives_Freq","game_id","date","Date","Rim FG% Expected","Rim FG%","Rim FG% Difference","3PT FG% Expected","3PT FG%","3PT FG% Difference","Midrange FG% Expected","Midrange FG%","Midrange FG% Difference","Post Up FG% Expected","Post Up FG%","Post Up FG% Difference","Free Throw % Expected","Free Throw %","Free Throw % Difference","Shot Attempts","Rim Attempts","Free Throw Attempts","Opponent","Points Allowed","Point Differential Team"
"1",1216,"Chicago Bulls",1.12499913958774,100,112.499913958774,133,0.919699764162574,1.00763385931797,16,14,18,34,4,46,991009,"11/1/2022","11/1/2022",0.596413043478261,0.576086956521739,0.0203260869565217,0.378039215686274,0.529411764705882,-0.151372549019608,0.533055555555556,0.555555555555556,-0.0225000000000001,0.75,0.50125,-0.24875,0.763756323767926,0.818181818181818,-0.0544254944138918,92,39,19,"Detroit Pistons",87,46
"2",1215,"Detroit Pistons",0.939295601008939,100,93.9295601008939,87,1.02916346882369,0.995434391322879,18,15,10,35,4,50,991009,"11/1/2022","11/1/2022",0.5704,0.59,-0.0196,0.32047619047619,0.171428571428571,0.149047619047619,0.386,0.25,0.136,0.375,0.48875,0.11375,0.708970029469735,0.857142857142857,-0.148172827673123,91,41,25,"Chicago Bulls",133,-46
"3",2154,"Dallas Mavericks",1.240830295536,96,119.119708371456,110,0.999759392164615,0.994744900762705,11,7,7,46,2,37,881108,"21/3/2022","21/3/2022",0.719189189189189,0.797297297297297,-0.0781081081081081,0.385942028985507,0.304347826086956,0.0815942028985508,0.498571428571429,0.428571428571429,0.07,0,0.1,0.1,0.760599399659253,0.772727272727273,-0.0121278730680198,83,29,21,"Minnesota Timberwolves",109,1
"4",2153,"Minnesota Timberwolves",1.17634884761238,97,114.105838218401,108,1.07068069801954,1.00119366355814,9,15,13,36,0,53,881108,"21/3/2022","21/3/2022",0.583679245283019,0.556603773584906,0.0270754716981132,0.361944444444444,0.361111111111111,0.00083333333333339,0.325769230769231,0.230769230769231,0.095,NA,NA,NA,0.780423268175233,0.8,-0.0195767318247669,90,42,29,"Dallas Mavericks",110,-1
"5",2151,"Boston Celtics",1.34912045358705,98,132.213804451531,132,0.918028819793135,1.00871755230563,9,6,8,40,1,47,881107,"21/3/2022","21/3/2022",0.687659574468085,0.723404255319149,-0.0357446808510639,0.402,0.383333333333333,0.0186666666666667,0.585,0.5625,0.0225,1.5,1.4,-0.1,0.784589754563859,0.880952380952381,-0.0963626263885222,86,37,34,"Oklahoma City Thunder",123,9
"6",2152,"Oklahoma City Thunder",1.03672400562052,98,101.598952550811,123,1.02400388595462,0.9511048003604,11,9,9,36,0,53,881107,"21/3/2022","21/3/2022",0.538867924528302,0.622641509433962,-0.0837735849056603,0.302962962962963,0.472222222222222,-0.169259259259259,0.473888888888889,0.333333333333333,0.140555555555556,NA,NA,NA,0.705634897288013,0.722222222222222,-0.0165873249342096,92,49,14,"Boston Celtics",132,-9
"7",2150,"Houston Rockets",1.06185644140537,93,98.7526490506995,115,0.997550193854499,1.00681212398655,12,6,9,39,0,40,881106,"21/3/2022","21/3/2022",0.60075,0.5125,0.0882500000000001,0.343931623931624,0.538461538461538,-0.194529914529915,0.413888888888889,0.555555555555556,-0.141666666666667,NA,NA,NA,0.714961475398308,0.8125,-0.0975385246016919,85,37,11,"Washington Wizards",94,20
"8",2149,"Washington Wizards",1.11007549499883,92,102.126945539893,97,0.955681468072214,1.04832148158261,10,10,15,29,7,44,881106,"21/3/2022","21/3/2022",0.571590909090909,0.590909090909091,-0.0193181818181819,0.333908045977011,0.172413793103448,0.161494252873563,0.474,0.5,-0.026,0.571428571428571,0.435714285714286,-0.135714285714286,0.770174457025899,0.846153846153846,-0.0759793891279468,83,35,24,"Houston Rockets",114,-20
"9",2148,"Chicago Bulls",1.23502193618794,89,109.916952320727,113,0.966803719399979,0.989114406007703,5,14,23,28,3,48,881105,"21/3/2022","21/3/2022",0.617708333333333,0.541666666666667,0.0760416666666667,0.359761904761905,0.392857142857143,-0.0330952380952381,0.492826086956522,0.565217391304348,-0.072391304347826,0.333333333333333,0.665,0.331666666666667,0.763659781976317,0.571428571428571,0.192231210547745,90,38,24,"Toronto Raptors",99,14
"10",2147,"Toronto Raptors",1.09066684576224,90,98.1600161186018,99,1.0260383064198,1.00695145157887,12,14,11,32,2,56,881105,"21/3/2022","21/3/2022",0.548035714285714,0.633928571428571,-0.0858928571428571,0.349895833333333,0.1875,0.162395833333333,0.401818181818182,0.363636363636364,0.0381818181818182,0.5,0.25,-0.25,0.763901451476395,0.875,-0.111098548523605,91,48,15,"Chicago Bulls",113,-14
"11",2146,"Brooklyn Nets",1.09874688040254,93,102.183459877436,114,1.07376707756435,0.982698981326906,14,7,22,31,5,32,881104,"21/3/2022","21/3/2022",0.640625,0.75,-0.109375,0.390537634408602,0.387096774193548,0.00344086021505374,0.500454545454545,0.5,0.000454545454545485,0.8,0.443,-0.357,0.695561122911122,0.9375,-0.241938877088878,83,27,14,"Utah Jazz",105,9
"12",2145,"Utah Jazz",1.20404139882792,94,113.179891489825,106,1.04581791193642,1.00167212765946,12,11,3,39,3,45,881104,"21/3/2022","21/3/2022",0.574333333333333,0.511111111111111,0.0632222222222223,0.397777777777778,0.367521367521368,0.0302564102564102,0.583333333333333,0.5,0.0833333333333333,1,0.461666666666667,-0.538333333333333,0.794288417654192,0.818181818181818,-0.0238934005276258,85,39,21,"Brooklyn Nets",114,-9
"13",2143,"Miami Heat",1.14790208270028,87,99.8674811949244,106,1.05642836482583,1.00259263405463,11,3,13,32,6,34,881103,"21/3/2022","21/3/2022",0.651911764705882,0.720588235294118,-0.0686764705882353,0.365208333333333,0.34375,0.0214583333333334,0.440384615384615,0.461538461538462,-0.0211538461538462,0.333333333333333,0.350833333333333,0.0175,0.808388696521493,1,-0.191611303478507,74,26,19,"Philadelphia 76ers",109,-10
"14",2144,"Philadelphia 76ers",1.09948213750727,86,94.555463825625,113,0.998115210017615,0.988558877646138,11,11,8,36,1,44,881103,"21/3/2022","21/3/2022",0.546022727272727,0.602272727272727,-0.05625,0.37537037037037,0.416666666666667,-0.0412962962962963,0.486875,0.625,-0.138125,0,0.335,0.335,0.795673662348812,0.75,0.0456736623488123,83,38,14,"Miami Heat",99,10
"15",2142,"Detroit Pistons",1.02042990064655,101,103.063419965301,115,0.99427452199738,1.03331421871037,18,11,9,35,5,50,881102,"21/3/2022","21/3/2022",0.5582,0.63,-0.0718,0.348285714285714,0.257142857142857,0.0911428571428572,0.435,0.388888888888889,0.0461111111111111,0.6,0.483,-0.117,0.749528855462478,0.772727272727273,-0.0231984172647944,86,39,41,"Portland Trail Blazers",117,-3
"16",2141,"Portland Trail Blazers",1.12768268090088,101,113.895950770989,119,0.922340124499004,1.01293254376388,8,16,9,28,3,64,881102,"21/3/2022","21/3/2022",0.589140625,0.625,-0.035859375,0.317142857142857,0.285714285714286,0.0314285714285714,0.291666666666667,0.111111111111111,0.180555555555556,0.333333333333333,0.526666666666667,0.193333333333333,0.712061420969017,0.769230769230769,-0.0571693482617521,87,48,49,"Detroit Pistons",114,3
"17",2140,"Cleveland Cavaliers",1.14636814447584,95,108.904973725205,120,0.996104186399711,1.00882710415804,12,8,13,39,2,40,881101,"21/3/2022","21/3/2022",0.617625,0.7125,-0.094875,0.360854700854701,0.358974358974359,0.00188034188034192,0.468846153846154,0.576923076923077,-0.108076923076923,0.5,0.2825,-0.2175,0.681506053898556,0.791666666666667,-0.110160612768111,86,34,19,"Los Angeles Lakers",131,-11
"18",2139,"Los Angeles Lakers",1.23138011642711,96,118.212491177003,131,0.969796810197222,0.974536691912895,8,9,17,31,6,46,881101,"21/3/2022","21/3/2022",0.707282608695652,0.739130434782609,-0.0318478260869565,0.350645161290323,0.387096774193548,-0.0364516129032258,0.400588235294118,0.529411764705882,-0.128823529411765,0.75,0.475,-0.275,0.714694160525499,0.85,-0.135305839474501,93,40,16,"Cleveland Cavaliers",120,11
"19",2138,"Charlotte Hornets",1.08109832154254,92,99.461045581914,106,0.975161502484678,1.01276844029105,17,5,7,36,0,44,881100,"21/3/2022","21/3/2022",0.568068181818182,0.579545454545455,-0.0114772727272727,0.35212962962963,0.361111111111111,-0.00898148148148148,0.612142857142857,0.785714285714286,-0.173571428571429,NA,NA,NA,0.662174978271292,0.833333333333333,-0.171158355062041,80,36,14,"New Orleans Pelicans",103,2
"20",2137,"New Orleans Pelicans",1.05166689383751,92,96.7533542330506,103,1.00492678773476,1.00704692477186,14,15,15,25,6,53,881100,"21/3/2022","21/3/2022",0.54311320754717,0.518867924528302,0.024245283018868,0.367466666666667,0.4,-0.0325333333333333,0.389,0.2,0.189,0.666666666666667,0.423333333333333,-0.243333333333333,0.713199454707989,0.944444444444444,-0.231244989736456,91,48,15,"Charlotte Hornets",105,-2
"21",2132,"Golden State Warriors",1.0088009331931,93,93.8184867869578,108,0.981412255323048,0.990142169397146,15,20,18,33,4,46,881099,"20/3/2022","20/3/2022",0.569347826086957,0.608695652173913,-0.0393478260869565,0.323838383838384,0.333333333333333,-0.00949494949494948,0.376666666666667,0.277777777777778,0.0988888888888889,0.75,0.505,-0.245,0.728831514812689,0.636363636363636,0.0924678784490522,89,36,21,"San Antonio Spurs",109,-3
"22",2131,"San Antonio Spurs",1.08342785902737,94,101.842218748573,110,1.01347769075479,0.985297936160017,9,16,17,43,3,44,881099,"20/3/2022","20/3/2022",0.543409090909091,0.420454545454545,0.122954545454545,0.376356589147287,0.410852713178295,-0.0344961240310078,0.437058823529412,0.529411764705882,-0.0923529411764706,0,0.385,0.385,0.677914044418754,0.909090909090909,-0.231176864672155,100,38,20,"Golden State Warriors",106,3
"23",2130,"Philadelphia 76ers",1.24034233723048,88,109.150125676282,88,0.966876798422032,0.987484797766903,9,5,7,27,8,46,881098,"20/3/2022","20/3/2022",0.66445652173913,0.608695652173913,0.0557608695652173,0.358641975308642,0.259259259259259,0.0993827160493827,0.446428571428571,0.428571428571429,0.0178571428571428,0.3125,0.635625,0.323125,0.819743208414054,0.766666666666667,0.0530765417473874,73,33,28,"Toronto Raptors",96,-8
"24",2129,"Toronto Raptors",1.04937435171016,88,92.3449429504945,93,1.05711160999301,1.00213322707126,8,20,19,26,4,50,881098,"20/3/2022","20/3/2022",0.574,0.54,0.0339999999999999,0.333589743589744,0.269230769230769,0.0643589743589744,0.351842105263158,0.315789473684211,0.0360526315789474,0,0.35,0.35,0.725408053033359,0.791666666666667,-0.066258613633308,93,44,23,"Philadelphia 76ers",88,8
"25",2127,"Boston Celtics",1.19153138615173,90,107.237824753656,124,1.00858972333588,1.02688433927821,8,5,16,40,1,32,881097,"20/3/2022","20/3/2022",0.6515625,0.734375,-0.0828125,0.3785,0.475,-0.0965,0.486875,0.625,-0.138125,0,0.42,0.42,0.782223433238957,1,-0.217776566761043,82,26,11,"Denver Nuggets",102,22
"26",2128,"Denver Nuggets",1.11868982915408,91,101.800774453021,104,1.02158941723791,0.951668949062749,10,13,10,39,7,43,881097,"20/3/2022","20/3/2022",0.570581395348837,0.534883720930233,0.0356976744186047,0.35965811965812,0.358974358974359,0.000683760683760711,0.4045,0.3,0.1045,0.357142857142857,0.453571428571429,0.0964285714285714,0.736691513474019,0.807692307692308,-0.0710007942182884,90,33,23,"Boston Celtics",124,-22
"27",2136,"New York Knicks",1.09423829757231,89,97.3872084839355,93,1.07431224101319,0.982283956131772,11,10,11,43,3,36,881096,"20/3/2022","20/3/2022",0.461805555555556,0.458333333333333,0.00347222222222227,0.438682170542636,0.426356589147287,0.0123255813953488,0.334090909090909,0.0454545454545455,0.288636363636364,0.666666666666667,0.393333333333333,-0.273333333333333,0.821163399384947,0.8,0.0211633993849472,83,30,18,"Utah Jazz",108,-15
"28",2135,"Utah Jazz",1.17832425246508,88,103.692534216927,108,1.00359474429496,1.0130678392476,11,9,7,46,1,33,881096,"20/3/2022","20/3/2022",0.668484848484848,0.681818181818182,-0.0133333333333333,0.375434782608696,0.369565217391304,0.00586956521739131,0.572142857142857,0.571428571428571,0.000714285714285778,1,0.735,-0.265,0.746557813860416,0.8,-0.053442186139584,74,23,29,"New York Knicks",93,15
"29",2133,"Phoenix Suns",1.11832129622848,109,121.897021288904,127,1.01840709444659,1.01444961475774,17,10,23,28,4,49,881095,"20/3/2022","20/3/2022",0.61,0.591836734693878,0.0181632653061224,0.40047619047619,0.44047619047619,-0.04,0.540652173913043,0.543478260869565,-0.00282608695652176,0.75,0.4375,-0.3125,0.784695833793205,0.866666666666667,-0.0819708328734621,92,39,27,"Sacramento Kings",122,5
"30",2134,"Sacramento Kings",1.10358342630643,108,119.187010041095,124,1.05322278686103,0.96997615205266,15,9,15,34,3,52,881095,"20/3/2022","20/3/2022",0.605,0.548076923076923,0.0569230769230769,0.366176470588235,0.470588235294118,-0.104411764705882,0.403,0.4,0.003,0.5,0.568333333333333,0.0683333333333334,0.71079616878558,0.85,-0.13920383121442,91,41,34,"Phoenix Suns",127,-5
"31",2125,"Oklahoma City Thunder",0.918353686605632,98,89.9986612873519,85,0.899288099900474,1.0012454367702,16,14,8,48,0,45,881094,"20/3/2022","20/3/2022",0.527222222222222,0.488888888888889,0.0383333333333334,0.295555555555556,0.270833333333333,0.0247222222222222,0.424375,0.125,0.299375,NA,NA,NA,0.731839915944014,0.65,0.0818399159440143,92,36,18,"Orlando Magic",90,-5
"32",2126,"Orlando Magic",0.899580733110494,98,88.1589118448284,90,0.918132404498392,1.00619446837737,21,15,13,31,6,45,881094,"20/3/2022","20/3/2022",0.552666666666667,0.6,-0.0473333333333333,0.304516129032258,0.225806451612903,0.0787096774193549,0.407307692307692,0.307692307692308,0.0996153846153846,0.25,0.355833333333333,0.105833333333333,0.788912005269665,0.769230769230769,0.0196812360388953,83,35,24,"Oklahoma City Thunder",85,5
"33",2124,"Atlanta Hawks",1.14119615888131,104,118.684400523656,112,0.975378510065588,1.01296775840416,15,7,23,33,6,34,881093,"20/3/2022","20/3/2022",0.655,0.632352941176471,0.0226470588235295,0.401919191919192,0.333333333333333,0.0685858585858586,0.48695652173913,0.521739130434783,-0.0347826086956521,0.666666666666667,0.5,-0.166666666666667,0.785811175343684,0.909090909090909,-0.123279733747225,87,27,22,"New Orleans Pelicans",117,-5
